Calendar Year,Fishery,LATITUDE (5° cell),LONGITUDE (5° cell),Species Category,Species (or group),Number of vessels with observer data ,Observed Captures (number),Observed Capture Rate (per 1000 hooks),Observed Mortalities (number),Observed Mortality rate (per 1000 hooks),Observed Live Releases
2019,L,-12.5,-132.5,MAM,INDO-PACIF. BOTTLENOSE DOLPHIN,18,2,0.002922353,2,0.002922353,0
2020,L,-17.5,167.5,MAM,INDO-PACIF. BOTTLENOSE DOLPHIN,8,1,0.003522516,0,0.000000000,1
2020,L,-17.5,172.5,MAM,INDO-PACIF. BOTTLENOSE DOLPHIN,23,1,0.000948069,0,0.000000000,1
2016,L,-17.5,177.5,MAM,LONG-BEAKED COMMON DOLPHIN,49,1,0.000499383,0,0.000000000,1
2014,L,2.5,157.5,MAM,MELON-HEADED WHALE,4,1,0.003513901,0,0.000000000,1
2014,L,2.5,162.5,MAM,MELON-HEADED WHALE,4,1,0.003732639,0,0.000000000,1
2014,L,7.5,157.5,MAM,MELON-HEADED WHALE,3,2,0.015417704,0,0.000000000,2
2015,L,-17.5,157.5,MAM,MELON-HEADED WHALE,4,2,0.027374760,0,0.000000000,1
2015,L,-17.5,177.5,MAM,MELON-HEADED WHALE,43,1,0.000563306,0,0.000000000,1
2018,L,-7.5,-137.5,MAM,MELON-HEADED WHALE,10,1,0.008411207,0,0.000000000,1
2019,L,-27.5,177.5,MAM,MELON-HEADED WHALE,11,1,0.003193032,0,0.000000000,1
2019,L,-12.5,-132.5,MAM,MELON-HEADED WHALE,18,1,0.001461177,1,0.001461177,0
2013,L,-17.5,177.5,MAM,PANTROPICAL SPOTTED DOLPHIN,24,1,0.000943659,0,0.000000000,1
2017,L,-17.5,-177.5,MAM,PANTROPICAL SPOTTED DOLPHIN,21,2,0.003726011,0,0.000000000,2
2018,L,-22.5,172.5,MAM,PANTROPICAL SPOTTED DOLPHIN,22,1,0.002265924,0,0.000000000,1
2019,L,-7.5,-132.5,MAM,PANTROPICAL SPOTTED DOLPHIN,10,1,0.003257902,0,0.000000000,1
2014,L,2.5,157.5,MAM,PYGMY KILLER WHALE,4,1,0.003513901,0,0.000000000,1
2014,L,7.5,157.5,MAM,PYGMY KILLER WHALE,3,2,0.015417704,0,0.000000000,2
2016,L,-17.5,177.5,MAM,PYGMY KILLER WHALE,49,1,0.000499383,0,0.000000000,1
2019,L,-12.5,177.5,MAM,PYGMY KILLER WHALE,26,1,0.000680323,0,0.000000000,1
2014,L,-17.5,177.5,MAM,PYGMY SPERM WHALE,30,1,0.000666341,0,0.000000000,1
2014,L,2.5,162.5,MAM,PYGMY SPERM WHALE,4,1,0.003732639,0,0.000000000,1
2015,L,-17.5,177.5,MAM,PYGMY SPERM WHALE,43,1,0.000563306,0,0.000000000,1
2013,L,-7.5,-157.5,MAM,RISSO'S DOLPHIN,5,1,0.005990750,0,0.000000000,1
2013,L,32.5,-162.5,MAM,RISSO'S DOLPHIN,13,1,0.007393169,0,0.000000000,1
2014,L,-17.5,177.5,MAM,RISSO'S DOLPHIN,30,1,0.000666341,0,0.000000000,1
2014,L,-7.5,162.5,MAM,RISSO'S DOLPHIN,4,1,0.007238561,0,0.000000000,1
2015,L,12.5,-162.5,MAM,RISSO'S DOLPHIN,35,1,0.001711066,1,0.001711066,0
2015,L,17.5,-162.5,MAM,RISSO'S DOLPHIN,60,1,0.001082525,0,0.000000000,1
2017,L,27.5,-162.5,MAM,RISSO'S DOLPHIN,29,1,0.002463679,0,0.000000000,1
2017,L,32.5,-157.5,MAM,RISSO'S DOLPHIN,14,1,0.005570689,0,0.000000000,1
2017,L,32.5,-152.5,MAM,RISSO'S DOLPHIN,15,1,0.009140016,0,0.000000000,1
2018,L,-17.5,-177.5,MAM,RISSO'S DOLPHIN,31,1,0.000723710,0,0.000000000,1
2018,L,27.5,-157.5,MAM,RISSO'S DOLPHIN,89,1,0.000758646,0,0.000000000,1
2019,L,-7.5,-132.5,MAM,RISSO'S DOLPHIN,10,1,0.003257902,1,0.003257902,0
2019,L,12.5,-172.5,MAM,RISSO'S DOLPHIN,8,1,0.007755786,0,0.000000000,0
2019,L,17.5,-162.5,MAM,RISSO'S DOLPHIN,73,1,0.000665332,1,0.000665332,0
2020,L,22.5,-152.5,MAM,RISSO'S DOLPHIN,43,1,0.001440526,0,0.000000000,1
2020,L,27.5,-157.5,MAM,RISSO'S DOLPHIN,45,1,0.001436773,0,0.000000000,1
2013,L,-12.5,157.5,MAM,ROUGH-TOOTHED DOLPHIN,9,1,0.004123184,1,0.004123184,0
2016,L,22.5,-152.5,MAM,ROUGH-TOOTHED DOLPHIN,34,1,0.002970674,1,0.002970674,0
2017,L,-17.5,157.5,MAM,ROUGH-TOOTHED DOLPHIN,7,1,0.016686412,0,0.000000000,1
2018,L,-22.5,172.5,MAM,ROUGH-TOOTHED DOLPHIN,22,1,0.002265924,0,0.000000000,1
2018,L,-17.5,172.5,MAM,ROUGH-TOOTHED DOLPHIN,35,1,0.001331884,1,0.001331884,0
2018,L,-12.5,-172.5,MAM,ROUGH-TOOTHED DOLPHIN,5,1,0.001945154,1,0.001945154,0
2018,L,-7.5,-137.5,MAM,ROUGH-TOOTHED DOLPHIN,10,1,0.008411207,0,0.000000000,1
2018,L,-7.5,-132.5,MAM,ROUGH-TOOTHED DOLPHIN,11,1,0.002771872,0,0.000000000,1
2019,L,-17.5,172.5,MAM,ROUGH-TOOTHED DOLPHIN,28,1,0.000865180,0,0.000000000,1
2019,L,-7.5,-132.5,MAM,ROUGH-TOOTHED DOLPHIN,10,5,0.016289510,1,0.003257902,3
2019,L,22.5,-152.5,MAM,ROUGH-TOOTHED DOLPHIN,56,1,0.001561756,0,0.000000000,1
2020,L,-22.5,172.5,MAM,ROUGH-TOOTHED DOLPHIN,14,1,0.002589412,0,0.000000000,1
2020,L,-17.5,172.5,MAM,ROUGH-TOOTHED DOLPHIN,23,1,0.000948069,0,0.000000000,1
2020,L,22.5,-152.5,MAM,ROUGH-TOOTHED DOLPHIN,43,1,0.001440526,0,0.000000000,1
2020,L,27.5,-152.5,MAM,ROUGH-TOOTHED DOLPHIN,43,1,0.001751590,0,0.000000000,1
2013,L,-17.5,157.5,MAM,SHORT-FINNED PILOT WHALE,5,1,0.030010203,0,0.000000000,0
2013,L,-12.5,-147.5,MAM,SHORT-FINNED PILOT WHALE,17,1,0.002934823,0,0.000000000,1
2013,L,-7.5,-162.5,MAM,SHORT-FINNED PILOT WHALE,10,1,0.004471312,0,0.000000000,1
2013,L,2.5,177.5,MAM,SHORT-FINNED PILOT WHALE,11,2,0.005609862,0,0.000000000,0
2013,L,27.5,-157.5,MAM,SHORT-FINNED PILOT WHALE,38,1,0.001147662,1,0.001147662,0
2014,L,-22.5,152.5,MAM,SHORT-FINNED PILOT WHALE,7,1,0.015062056,0,0.000000000,0
2014,L,-22.5,177.5,MAM,SHORT-FINNED PILOT WHALE,18,1,0.001934707,0,0.000000000,1
2015,L,-7.5,-167.5,MAM,SHORT-FINNED PILOT WHALE,17,1,0.003396162,0,0.000000000,1
2015,L,-2.5,-167.5,MAM,SHORT-FINNED PILOT WHALE,11,1,0.006914864,0,0.000000000,1
2015,L,2.5,-172.5,MAM,SHORT-FINNED PILOT WHALE,6,2,0.012245073,0,0.000000000,2
2016,L,-17.5,-177.5,MAM,SHORT-FINNED PILOT WHALE,25,1,0.001130274,0,0.000000000,1
2016,L,-17.5,177.5,MAM,SHORT-FINNED PILOT WHALE,49,2,0.000998766,0,0.000000000,2
2016,L,-12.5,-142.5,MAM,SHORT-FINNED PILOT WHALE,11,1,0.004359293,0,0.000000000,1
2017,L,-17.5,162.5,MAM,SHORT-FINNED PILOT WHALE,10,2,0.020998478,0,0.000000000,2
2017,L,-17.5,177.5,MAM,SHORT-FINNED PILOT WHALE,37,1,0.000580200,0,0.000000000,1
2017,L,-7.5,-137.5,MAM,SHORT-FINNED PILOT WHALE,12,1,0.007929460,0,0.000000000,1
2018,L,-22.5,167.5,MAM,SHORT-FINNED PILOT WHALE,11,1,0.005928666,0,0.000000000,1
2019,L,-17.5,157.5,MAM,SHORT-FINNED PILOT WHALE,8,1,0.011603755,0,0.000000000,1
2020,L,-22.5,177.5,MAM,SHORT-FINNED PILOT WHALE,23,1,0.001256675,1,0.001256675,0
2013,L,-37.5,152.5,MAM,SOUTH AFRICAN FUR SEAL,17,2,0.030688496,0,0.000000000,2
2014,L,-22.5,177.5,MAM,SPERM WHALE,18,1,0.001934707,0,0.000000000,1
2014,L,-17.5,177.5,MAM,SPERM WHALE,30,1,0.000666341,0,0.000000000,1
2015,L,-7.5,-177.5,MAM,SPERM WHALE,5,1,0.011533626,0,0.000000000,1
2015,L,-7.5,-167.5,MAM,SPERM WHALE,17,1,0.003396162,0,0.000000000,1
2015,L,-17.5,177.5,MAM,SPINNER DOLPHIN,43,1,0.000563306,0,0.000000000,1
2016,L,-17.5,172.5,MAM,SPINNER DOLPHIN,17,1,0.002680369,0,0.000000000,1
2016,L,-17.5,177.5,MAM,SPINNER DOLPHIN,49,1,0.000499383,0,0.000000000,1
2017,L,-17.5,172.5,MAM,SPINNER DOLPHIN,15,1,0.003854708,0,0.000000000,1
2017,L,-17.5,177.5,MAM,SPINNER DOLPHIN,37,2,0.001160400,0,0.000000000,2
2018,L,-12.5,177.5,MAM,SPINNER DOLPHIN,17,1,0.002576071,1,0.002576071,0
2015,L,27.5,-152.5,MAM,STRIPED DOLPHIN,37,1,0.003062027,0,0.000000000,1
2016,L,-17.5,172.5,MAM,STRIPED DOLPHIN,17,1,0.002680369,0,0.000000000,0
2018,L,-17.5,177.5,MAM,STRIPED DOLPHIN,55,1,0.000371741,0,0.000000000,1
2020,L,-17.5,177.5,MAM,STRIPED DOLPHIN,37,1,0.000627816,1,0.000627816,0
2013,L,12.5,-172.5,MAM,TOOTHED WHALES NEI,7,1,0.004260541,0,0.000000000,1
2015,L,-7.5,-137.5,MAM,TOOTHED WHALES NEI,3,1,0.034843206,0,0.000000000,1
2015,L,2.5,172.5,MAM,TOOTHED WHALES NEI,4,1,0.013812536,0,0.000000000,0
2015,L,12.5,132.5,MAM,TOOTHED WHALES NEI,8,1,0.005271843,0,0.000000000,1
2015,L,17.5,142.5,MAM,TOOTHED WHALES NEI,6,1,0.010943433,0,0.000000000,1
2015,L,17.5,152.5,MAM,TOOTHED WHALES NEI,5,2,0.013709147,1,0.006854573,0
2015,L,32.5,152.5,MAM,TOOTHED WHALES NEI,10,2,0.012531171,1,0.006265586,1
2015,L,32.5,157.5,MAM,TOOTHED WHALES NEI,11,1,0.004903331,1,0.004903331,0
2015,L,37.5,147.5,MAM,TOOTHED WHALES NEI,5,1,0.012256254,1,0.012256254,0
2015,L,37.5,167.5,MAM,TOOTHED WHALES NEI,8,1,0.007304228,0,0.000000000,0
2016,L,22.5,152.5,MAM,TOOTHED WHALES NEI,5,1,0.013820745,0,0.000000000,1
2016,L,37.5,147.5,MAM,TOOTHED WHALES NEI,9,1,0.014251714,0,0.000000000,1
2016,L,37.5,152.5,MAM,TOOTHED WHALES NEI,9,1,0.004524969,0,0.000000000,1
2016,L,37.5,162.5,MAM,TOOTHED WHALES NEI,7,1,0.008085643,1,0.008085643,0
2017,L,32.5,147.5,MAM,TOOTHED WHALES NEI,11,1,0.013630849,0,0.000000000,1
2017,L,32.5,152.5,MAM,TOOTHED WHALES NEI,9,1,0.010834471,0,0.000000000,1
2017,L,32.5,157.5,MAM,TOOTHED WHALES NEI,8,1,0.011351253,0,0.000000000,1
2018,L,-12.5,-132.5,MAM,TOOTHED WHALES NEI,24,1,0.002089192,0,0.000000000,1
2018,L,-7.5,-142.5,MAM,TOOTHED WHALES NEI,12,1,0.004017032,1,0.004017032,0
2018,L,-7.5,-132.5,MAM,TOOTHED WHALES NEI,11,3,0.008315616,2,0.005543744,1
2018,L,-2.5,-152.5,MAM,TOOTHED WHALES NEI,11,1,0.006820864,0,0.000000000,0
2018,L,17.5,152.5,MAM,TOOTHED WHALES NEI,5,1,0.009793744,0,0.000000000,1
2018,L,22.5,147.5,MAM,TOOTHED WHALES NEI,7,2,0.013935826,0,0.000000000,2
2018,L,27.5,147.5,MAM,TOOTHED WHALES NEI,12,1,0.006013482,0,0.000000000,1
2018,L,32.5,147.5,MAM,TOOTHED WHALES NEI,12,1,0.009106888,1,0.009106888,0
2018,L,32.5,152.5,MAM,TOOTHED WHALES NEI,9,1,0.011962295,0,0.000000000,1
2018,L,37.5,152.5,MAM,TOOTHED WHALES NEI,17,3,0.010652312,1,0.003550771,2
2018,L,37.5,157.5,MAM,TOOTHED WHALES NEI,15,1,0.003203106,0,0.000000000,1
2019,L,-42.5,152.5,MAM,TOOTHED WHALES NEI,6,1,0.001723630,0,0.000000000,1
2019,L,-22.5,162.5,MAM,TOOTHED WHALES NEI,14,1,0.007029432,0,0.000000000,1
2019,L,12.5,132.5,MAM,TOOTHED WHALES NEI,9,1,0.004924871,0,0.000000000,1
2019,L,17.5,152.5,MAM,TOOTHED WHALES NEI,12,4,0.015535429,0,0.000000000,4
2019,L,17.5,157.5,MAM,TOOTHED WHALES NEI,10,2,0.004915056,0,0.000000000,2
2019,L,22.5,152.5,MAM,TOOTHED WHALES NEI,7,1,0.012066656,1,0.012066656,0
2019,L,32.5,147.5,MAM,TOOTHED WHALES NEI,13,2,0.009759573,0,0.000000000,2
2019,L,37.5,152.5,MAM,TOOTHED WHALES NEI,23,4,0.007270943,0,0.000000000,4
2020,L,12.5,132.5,MAM,TOOTHED WHALES NEI,3,3,0.083296313,0,0.000000000,3
2015,L,17.5,-162.5,MAM,WHALE (UNIDENTIFIED),60,1,0.001082525,0,0.000000000,1
2017,L,22.5,-152.5,MAM,WHALE (UNIDENTIFIED),30,1,0.002692319,0,0.000000000,1
2017,L,27.5,-152.5,MAM,WHALE (UNIDENTIFIED),49,1,0.001471599,0,0.000000000,1
2018,L,32.5,-167.5,MAM,WHALE (UNIDENTIFIED),10,1,0.005226681,0,0.000000000,1
2019,L,2.5,-172.5,MAM,WHALE (UNIDENTIFIED),10,1,0.004046044,0,0.000000000,0
2019,L,2.5,177.5,MAM,WHALE (UNIDENTIFIED),7,1,0.007446515,1,0.007446515,0
2019,L,12.5,-157.5,MAM,WHALE (UNIDENTIFIED),26,1,0.004122215,0,0.000000000,1
2019,L,17.5,-157.5,MAM,WHALE (UNIDENTIFIED),58,1,0.001034852,0,0.000000000,1
2020,L,17.5,-167.5,MAM,WHALE (UNIDENTIFIED),5,1,0.029360815,0,0.000000000,1
2020,L,22.5,-157.5,MAM,WHALE (UNIDENTIFIED),5,1,0.059780010,0,0.000000000,1
2020,L,27.5,-162.5,MAM,WHALE (UNIDENTIFIED),24,1,0.002279556,0,0.000000000,1
2013,L,-37.5,177.5,SHK,BIGEYE THRESHER SHARK,7,3,0.066560170,1,0.022186723,2
2013,L,-32.5,172.5,SHK,BIGEYE THRESHER SHARK,5,1,0.016393980,0,0.000000000,1
2013,L,-27.5,152.5,SHK,BIGEYE THRESHER SHARK,7,1,0.030693677,0,0.000000000,1
2013,L,-22.5,-177.5,SHK,BIGEYE THRESHER SHARK,3,2,0.067024129,0,0.000000000,2
2013,L,-22.5,152.5,SHK,BIGEYE THRESHER SHARK,7,7,0.070836580,2,0.020239023,0
2013,L,-17.5,-177.5,SHK,BIGEYE THRESHER SHARK,19,2,0.004296502,0,0.000000000,2
2013,L,-17.5,-162.5,SHK,BIGEYE THRESHER SHARK,3,2,0.028246194,0,0.000000000,0
2013,L,-17.5,-152.5,SHK,BIGEYE THRESHER SHARK,10,1,0.013015749,0,0.000000000,1
2013,L,-17.5,-142.5,SHK,BIGEYE THRESHER SHARK,6,3,0.035448841,1,0.011816280,1
2013,L,-17.5,177.5,SHK,BIGEYE THRESHER SHARK,24,22,0.020760495,9,0.008492930,12
2013,L,-12.5,-167.5,SHK,BIGEYE THRESHER SHARK,4,7,0.054526476,1,0.007789497,6
2013,L,-12.5,-162.5,SHK,BIGEYE THRESHER SHARK,4,3,0.026854529,0,0.000000000,2
2013,L,-12.5,-152.5,SHK,BIGEYE THRESHER SHARK,6,24,0.153509614,9,0.057566105,6
2013,L,-12.5,-147.5,SHK,BIGEYE THRESHER SHARK,17,13,0.038152705,1,0.002934823,4
2013,L,-12.5,-132.5,SHK,BIGEYE THRESHER SHARK,8,10,0.032211721,4,0.012884688,0
2013,L,-12.5,162.5,SHK,BIGEYE THRESHER SHARK,10,2,0.006596567,1,0.003298284,1
2013,L,-12.5,177.5,SHK,BIGEYE THRESHER SHARK,4,2,0.013870010,0,0.000000000,1
2013,L,-7.5,-177.5,SHK,BIGEYE THRESHER SHARK,13,4,0.014560969,2,0.007280484,1
2013,L,-7.5,-172.5,SHK,BIGEYE THRESHER SHARK,6,1,0.007624159,1,0.007624159,0
2013,L,-7.5,-167.5,SHK,BIGEYE THRESHER SHARK,9,1,0.004035545,0,0.000000000,1
2013,L,-7.5,-162.5,SHK,BIGEYE THRESHER SHARK,10,1,0.004471312,0,0.000000000,1
2013,L,-7.5,-157.5,SHK,BIGEYE THRESHER SHARK,5,3,0.017972251,0,0.000000000,3
2013,L,-7.5,-147.5,SHK,BIGEYE THRESHER SHARK,4,8,0.063713544,3,0.023892579,0
2013,L,-7.5,-142.5,SHK,BIGEYE THRESHER SHARK,5,11,0.573394495,2,0.104253545,0
2013,L,-7.5,-137.5,SHK,BIGEYE THRESHER SHARK,3,2,0.078003120,1,0.039001560,0
2013,L,-7.5,-132.5,SHK,BIGEYE THRESHER SHARK,5,125,0.516153541,16,0.066067653,0
2013,L,-7.5,162.5,SHK,BIGEYE THRESHER SHARK,12,4,0.009917732,1,0.002479433,0
2013,L,-7.5,167.5,SHK,BIGEYE THRESHER SHARK,16,4,0.007258514,1,0.001814628,3
2013,L,-7.5,172.5,SHK,BIGEYE THRESHER SHARK,18,3,0.006905155,2,0.004603437,0
2013,L,-7.5,177.5,SHK,BIGEYE THRESHER SHARK,3,3,0.028306427,0,0.000000000,0
2013,L,-2.5,-172.5,SHK,BIGEYE THRESHER SHARK,3,1,0.028532299,0,0.000000000,0
2013,L,-2.5,-162.5,SHK,BIGEYE THRESHER SHARK,7,2,0.020975794,1,0.010487897,0
2013,L,-2.5,-157.5,SHK,BIGEYE THRESHER SHARK,5,1,0.021771788,1,0.021771788,0
2013,L,-2.5,-152.5,SHK,BIGEYE THRESHER SHARK,7,11,0.065426731,10,0.059478846,1
2013,L,-2.5,-147.5,SHK,BIGEYE THRESHER SHARK,4,3,0.071004237,2,0.047336158,0
2013,L,-2.5,-132.5,SHK,BIGEYE THRESHER SHARK,3,3,0.465260546,1,0.155086849,0
2013,L,-2.5,162.5,SHK,BIGEYE THRESHER SHARK,14,5,0.037155384,1,0.007431077,0
2013,L,2.5,-177.5,SHK,BIGEYE THRESHER SHARK,5,1,0.014152078,0,0.000000000,1
2013,L,2.5,-172.5,SHK,BIGEYE THRESHER SHARK,5,6,0.096486291,2,0.032162097,1
2013,L,2.5,-167.5,SHK,BIGEYE THRESHER SHARK,6,2,0.017005790,1,0.008502895,0
2013,L,2.5,-162.5,SHK,BIGEYE THRESHER SHARK,4,12,0.425124880,0,0.000000000,12
2013,L,2.5,172.5,SHK,BIGEYE THRESHER SHARK,7,4,0.020863433,2,0.010431717,0
2013,L,2.5,177.5,SHK,BIGEYE THRESHER SHARK,11,9,0.025244380,3,0.008414793,1
2013,L,7.5,-177.5,SHK,BIGEYE THRESHER SHARK,5,12,0.305351281,0,0.000000000,1
2013,L,7.5,-172.5,SHK,BIGEYE THRESHER SHARK,4,4,0.224895986,3,0.168671989,0
2013,L,7.5,-162.5,SHK,BIGEYE THRESHER SHARK,4,51,0.567353795,9,0.100121258,42
2013,L,7.5,177.5,SHK,BIGEYE THRESHER SHARK,8,35,0.256950511,12,0.088097318,3
2013,L,12.5,-172.5,SHK,BIGEYE THRESHER SHARK,7,22,0.093731893,5,0.021302703,8
2013,L,12.5,-167.5,SHK,BIGEYE THRESHER SHARK,25,322,0.488543503,86,0.130480563,231
2013,L,12.5,-162.5,SHK,BIGEYE THRESHER SHARK,19,462,1.662348877,81,0.291450777,379
2013,L,12.5,177.5,SHK,BIGEYE THRESHER SHARK,6,8,0.157545442,0,0.000000000,0
2013,L,17.5,-167.5,SHK,BIGEYE THRESHER SHARK,15,33,0.142041175,7,0.030129946,26
2013,L,17.5,-162.5,SHK,BIGEYE THRESHER SHARK,29,160,0.229497615,23,0.032990282,137
2013,L,17.5,-157.5,SHK,BIGEYE THRESHER SHARK,7,7,0.251058030,1,0.035865433,6
2013,L,22.5,-167.5,SHK,BIGEYE THRESHER SHARK,5,24,0.541809644,3,0.067726206,21
2013,L,22.5,-157.5,SHK,BIGEYE THRESHER SHARK,10,2,0.030148633,1,0.015074316,1
2013,L,22.5,-152.5,SHK,BIGEYE THRESHER SHARK,25,12,0.030745817,0,0.000000000,12
2013,L,27.5,-162.5,SHK,BIGEYE THRESHER SHARK,22,5,0.011954487,1,0.002390897,4
2013,L,27.5,-157.5,SHK,BIGEYE THRESHER SHARK,38,27,0.030986863,2,0.002295323,25
2013,L,27.5,-152.5,SHK,BIGEYE THRESHER SHARK,28,21,0.021922636,6,0.006263610,15
2013,L,32.5,-167.5,SHK,BIGEYE THRESHER SHARK,5,1,0.018361426,1,0.018361426,0
2013,L,32.5,-162.5,SHK,BIGEYE THRESHER SHARK,13,10,0.073931687,2,0.014786337,8
2013,L,32.5,-157.5,SHK,BIGEYE THRESHER SHARK,14,19,0.073993590,5,0.019471997,14
2013,L,32.5,-152.5,SHK,BIGEYE THRESHER SHARK,18,1,0.004466738,0,0.000000000,1
2014,L,-37.5,177.5,SHK,BIGEYE THRESHER SHARK,7,2,0.035452193,0,0.000000000,2
2014,L,-27.5,152.5,SHK,BIGEYE THRESHER SHARK,6,1,0.048058439,0,0.000000000,0
2014,L,-27.5,157.5,SHK,BIGEYE THRESHER SHARK,3,5,0.156479830,1,0.031295966,1
2014,L,-22.5,152.5,SHK,BIGEYE THRESHER SHARK,7,1,0.015062056,0,0.000000000,0
2014,L,-22.5,157.5,SHK,BIGEYE THRESHER SHARK,6,3,0.056213461,1,0.018737820,1
2014,L,-22.5,177.5,SHK,BIGEYE THRESHER SHARK,18,3,0.005804122,0,0.000000000,3
2014,L,-17.5,-177.5,SHK,BIGEYE THRESHER SHARK,12,1,0.001835701,0,0.000000000,1
2014,L,-17.5,-152.5,SHK,BIGEYE THRESHER SHARK,7,2,0.026126032,0,0.000000000,0
2014,L,-17.5,-147.5,SHK,BIGEYE THRESHER SHARK,12,2,0.008925145,0,0.000000000,2
2014,L,-17.5,177.5,SHK,BIGEYE THRESHER SHARK,30,10,0.006663415,2,0.001332683,7
2014,L,-12.5,-157.5,SHK,BIGEYE THRESHER SHARK,5,4,0.016883764,0,0.000000000,0
2014,L,-12.5,-152.5,SHK,BIGEYE THRESHER SHARK,5,7,0.119409096,0,0.000000000,6
2014,L,-12.5,-147.5,SHK,BIGEYE THRESHER SHARK,14,3,0.012553772,0,0.000000000,1
2014,L,-12.5,-142.5,SHK,BIGEYE THRESHER SHARK,11,4,0.023247975,1,0.005811994,3
2014,L,-12.5,-137.5,SHK,BIGEYE THRESHER SHARK,3,6,0.077829087,2,0.025943029,0
2014,L,-12.5,-132.5,SHK,BIGEYE THRESHER SHARK,6,1,0.005695539,1,0.005695539,0
2014,L,-7.5,-162.5,SHK,BIGEYE THRESHER SHARK,11,1,0.003664265,1,0.003664265,0
2014,L,-7.5,-157.5,SHK,BIGEYE THRESHER SHARK,7,2,0.015457742,0,0.000000000,0
2014,L,-7.5,-152.5,SHK,BIGEYE THRESHER SHARK,7,6,0.030181238,1,0.005030206,0
2014,L,-7.5,-147.5,SHK,BIGEYE THRESHER SHARK,7,6,0.040006401,1,0.006667734,0
2014,L,-7.5,-142.5,SHK,BIGEYE THRESHER SHARK,3,1,0.076470138,0,0.000000000,0
2014,L,-7.5,-137.5,SHK,BIGEYE THRESHER SHARK,3,1,0.068082789,0,0.000000000,0
2014,L,-7.5,162.5,SHK,BIGEYE THRESHER SHARK,4,4,0.028954245,1,0.007238561,0
2014,L,-2.5,-172.5,SHK,BIGEYE THRESHER SHARK,5,1,0.014158891,1,0.014158891,0
2014,L,-2.5,-167.5,SHK,BIGEYE THRESHER SHARK,9,3,0.021863021,0,0.000000000,0
2014,L,-2.5,-162.5,SHK,BIGEYE THRESHER SHARK,10,11,0.066432743,4,0.024157361,1
2014,L,-2.5,-157.5,SHK,BIGEYE THRESHER SHARK,6,29,0.188936159,4,0.026060160,0
2014,L,-2.5,-152.5,SHK,BIGEYE THRESHER SHARK,5,15,0.099260181,9,0.059556108,0
2014,L,-2.5,162.5,SHK,BIGEYE THRESHER SHARK,4,10,0.037965649,1,0.003796565,2
2014,L,-2.5,167.5,SHK,BIGEYE THRESHER SHARK,3,7,0.067648537,3,0.028992230,2
2014,L,-2.5,177.5,SHK,BIGEYE THRESHER SHARK,5,5,0.074360500,1,0.014872100,4
2014,L,2.5,-162.5,SHK,BIGEYE THRESHER SHARK,5,4,0.061336523,0,0.000000000,4
2014,L,2.5,-152.5,SHK,BIGEYE THRESHER SHARK,3,17,0.744601638,5,0.219000482,0
2014,L,2.5,142.5,SHK,BIGEYE THRESHER SHARK,3,5,0.032568198,0,0.000000000,0
2014,L,2.5,147.5,SHK,BIGEYE THRESHER SHARK,3,1,0.009808537,0,0.000000000,0
2014,L,2.5,157.5,SHK,BIGEYE THRESHER SHARK,4,3,0.010541703,1,0.003513901,0
2014,L,2.5,162.5,SHK,BIGEYE THRESHER SHARK,4,8,0.029861109,2,0.007465277,3
2014,L,7.5,-177.5,SHK,BIGEYE THRESHER SHARK,3,1,0.072896924,0,0.000000000,0
2014,L,7.5,-162.5,SHK,BIGEYE THRESHER SHARK,3,27,0.869313243,3,0.096590360,24
2014,L,7.5,157.5,SHK,BIGEYE THRESHER SHARK,3,3,0.023126556,2,0.015417704,1
2014,L,7.5,177.5,SHK,BIGEYE THRESHER SHARK,4,39,1.104252789,3,0.084942522,3
2014,L,12.5,-172.5,SHK,BIGEYE THRESHER SHARK,3,8,0.285612281,2,0.071403070,2
2014,L,12.5,-167.5,SHK,BIGEYE THRESHER SHARK,25,1659,2.507064815,553,0.835688272,1100
2014,L,12.5,-162.5,SHK,BIGEYE THRESHER SHARK,17,951,2.082215775,151,0.330614703,799
2014,L,12.5,172.5,SHK,BIGEYE THRESHER SHARK,3,1,0.037441965,0,0.000000000,1
2014,L,12.5,177.5,SHK,BIGEYE THRESHER SHARK,5,1,0.053356099,0,0.000000000,1
2014,L,17.5,-167.5,SHK,BIGEYE THRESHER SHARK,15,28,0.181981256,4,0.025997322,23
2014,L,17.5,-162.5,SHK,BIGEYE THRESHER SHARK,37,151,0.268292770,16,0.028428373,130
2014,L,17.5,-157.5,SHK,BIGEYE THRESHER SHARK,12,84,0.559399578,7,0.046616631,77
2014,L,17.5,-152.5,SHK,BIGEYE THRESHER SHARK,4,9,0.281267579,1,0.031251953,8
2014,L,22.5,-167.5,SHK,BIGEYE THRESHER SHARK,3,10,1.029654036,1,0.102965404,9
2014,L,22.5,-157.5,SHK,BIGEYE THRESHER SHARK,9,5,0.060133014,1,0.012026603,4
2014,L,22.5,-152.5,SHK,BIGEYE THRESHER SHARK,20,12,0.056467665,3,0.014116916,9
2014,L,27.5,-167.5,SHK,BIGEYE THRESHER SHARK,15,2,0.023551855,1,0.011775928,1
2014,L,27.5,-162.5,SHK,BIGEYE THRESHER SHARK,32,8,0.017391871,2,0.004347968,6
2014,L,27.5,-157.5,SHK,BIGEYE THRESHER SHARK,45,17,0.019507493,1,0.001147500,16
2014,L,27.5,-152.5,SHK,BIGEYE THRESHER SHARK,30,15,0.019681707,3,0.003936341,12
