"lat","lon","year","hooks","fleet","res","reslat","reslon","pixels","hooks2"
-35,15,2019,1500,"020ZA00","5*5",1,1,1,1500
-35,15,2019,4600,"020ZA00","5*5",1,1,1,4600
-35,10,2019,1400,"020ZA00","5*5",1,1,1,1400
-35,15,2019,1620,"020ZA00","5*5",1,1,1,1620
-35,15,2019,17450,"020ZA00","5*5",1,1,1,17450
-35,15,2019,11900,"020ZA00","5*5",1,1,1,11900
-35,15,2019,6825,"020ZA00","5*5",1,1,1,6825
-35,15,2019,3400,"020ZA00","5*5",1,1,1,3400
-35,15,2019,5450,"020ZA00","5*5",1,1,1,5450
-35,15,2019,3900,"020ZA00","5*5",1,1,1,3900
-35,15,2019,29502,"020ZA00","5*5",1,1,1,29502
-35,15,2019,5117,"020ZA00","5*5",1,1,1,5117
-35,15,2019,1200,"020ZA00","5*5",1,1,1,1200
-35,15,2019,1560,"020ZA00","5*5",1,1,1,1560
-35,15,2019,6783,"020ZA00","5*5",1,1,1,6783
-35,15,2019,11280,"020ZA00","5*5",1,1,1,11280
-35,15,2019,6545,"020ZA00","5*5",1,1,1,6545
-35,15,2019,1260,"020ZA00","5*5",1,1,1,1260
-35,15,2019,1680,"020ZA00","5*5",1,1,1,1680
-40,15,2019,1580,"020ZA00","5*5",1,1,1,1580
-40,15,2019,2900,"020ZA00","5*5",1,1,1,2900
-40,15,2019,1500,"020ZA00","5*5",1,1,1,1500
-40,15,2019,1500,"020ZA00","5*5",1,1,1,1500
-40,15,2019,3000,"020ZA00","5*5",1,1,1,3000
-35,10,2019,6710,"020ZA00","5*5",1,1,1,6710
-35,10,2019,10600,"020ZA00","5*5",1,1,1,10600
-35,10,2019,1650,"020ZA00","5*5",1,1,1,1650
-35,10,2019,3670,"020ZA00","5*5",1,1,1,3670
-35,10,2019,4700,"020ZA00","5*5",1,1,1,4700
-35,10,2019,33200,"020ZA00","5*5",1,1,1,33200
-35,10,2019,7000,"020ZA00","5*5",1,1,1,7000
-35,10,2019,2000,"020ZA00","5*5",1,1,1,2000
-35,15,2019,9617,"020ZA00","5*5",1,1,1,9617
-35,15,2019,9450,"020ZA00","5*5",1,1,1,9450
-35,10,2019,5971,"020ZA00","5*5",1,1,1,5971
-35,10,2019,9550,"020ZA00","5*5",1,1,1,9550
-35,15,2019,5862,"020ZA00","5*5",1,1,1,5862
-35,15,2019,12108,"020ZA00","5*5",1,1,1,12108
-35,15,2019,1300,"020ZA00","5*5",1,1,1,1300
-35,15,2019,2728,"020ZA00","5*5",1,1,1,2728
-35,15,2019,7100,"020ZA00","5*5",1,1,1,7100
-35,15,2019,1400,"020ZA00","5*5",1,1,1,1400
-35,15,2019,1595,"020ZA00","5*5",1,1,1,1595
-35,15,2019,13750,"020ZA00","5*5",1,1,1,13750
-35,15,2019,1300,"020ZA00","5*5",1,1,1,1300
-35,15,2019,6500,"020ZA00","5*5",1,1,1,6500
-35,15,2019,3300,"020ZA00","5*5",1,1,1,3300
-35,15,2019,1380,"020ZA00","5*5",1,1,1,1380
-35,15,2019,2100,"020ZA00","5*5",1,1,1,2100
-40,15,2019,4130,"020ZA00","5*5",1,1,1,4130
-40,15,2019,1400,"020ZA00","5*5",1,1,1,1400
-40,15,2019,8002,"020ZA00","5*5",1,1,1,8002
-35,10,2019,4780,"020ZA00","5*5",1,1,1,4780
-35,10,2019,19702,"020ZA00","5*5",1,1,1,19702
-35,10,2019,3432,"020ZA00","5*5",1,1,1,3432
-35,15,2019,1725,"020ZA00","5*5",1,1,1,1725
-35,15,2019,1386,"020ZA00","5*5",1,1,1,1386
-35,10,2019,11990,"020ZA00","5*5",1,1,1,11990
-35,10,2019,1100,"020ZA00","5*5",1,1,1,1100
-35,10,2019,2200,"020ZA00","5*5",1,1,1,2200
-35,15,2019,17635,"020ZA00","5*5",1,1,1,17635
-35,15,2019,51811,"020ZA00","5*5",1,1,1,51811
-35,15,2019,7090,"020ZA00","5*5",1,1,1,7090
-35,10,2019,3100,"020ZA00","5*5",1,1,1,3100
-35,10,2019,21133,"020ZA00","5*5",1,1,1,21133
-35,15,2019,1310,"020ZA00","5*5",1,1,1,1310
-35,15,2019,16140,"020ZA00","5*5",1,1,1,16140
-35,15,2019,9800,"020ZA00","5*5",1,1,1,9800
-35,15,2019,1780,"020ZA00","5*5",1,1,1,1780
-35,15,2019,4898,"020ZA00","5*5",1,1,1,4898
-35,10,2019,5200,"020ZA00","5*5",1,1,1,5200
-35,15,2019,1500,"020ZA00","5*5",1,1,1,1500
-35,15,2019,1400,"020ZA00","5*5",1,1,1,1400
-35,15,2019,5672,"020ZA00","5*5",1,1,1,5672
-35,15,2019,4158,"020ZA00","5*5",1,1,1,4158
-40,15,2019,910,"020ZA00","5*5",1,1,1,910
-35,10,2019,20200,"020ZA00","5*5",1,1,1,20200
-35,15,2019,1350,"020ZA00","5*5",1,1,1,1350
-35,15,2019,6500,"020ZA00","5*5",1,1,1,6500
-35,15,2019,9850,"020ZA00","5*5",1,1,1,9850
-35,15,2019,1450,"020ZA00","5*5",1,1,1,1450
-35,15,2019,6758,"020ZA00","5*5",1,1,1,6758
-35,15,2019,2686,"020ZA00","5*5",1,1,1,2686
-35,15,2019,1600,"020ZA00","5*5",1,1,1,1600
-35,15,2019,6636,"020ZA00","5*5",1,1,1,6636
-35,15,2019,5572,"020ZA00","5*5",1,1,1,5572
-35,10,2019,6070,"020ZA00","5*5",1,1,1,6070
-35,15,2019,6140,"020ZA00","5*5",1,1,1,6140
-35,15,2019,2900,"020ZA00","5*5",1,1,1,2900
-35,15,2019,6050,"020ZA00","5*5",1,1,1,6050
-35,15,2019,1550,"020ZA00","5*5",1,1,1,1550
-35,15,2019,4390,"020ZA00","5*5",1,1,1,4390
-35,15,2019,32873,"020ZA00","5*5",1,1,1,32873
-35,15,2019,9730,"020ZA00","5*5",1,1,1,9730
-35,15,2019,1120,"020ZA00","5*5",1,1,1,1120
-35,15,2019,5870,"020ZA00","5*5",1,1,1,5870
-35,15,2019,1400,"020ZA00","5*5",1,1,1,1400
-40,15,2019,3750,"020ZA00","5*5",1,1,1,3750
-40,15,2019,2950,"020ZA00","5*5",1,1,1,2950
-40,15,2019,3600,"020ZA00","5*5",1,1,1,3600
-40,15,2019,5450,"020ZA00","5*5",1,1,1,5450
-40,15,2019,1850,"020ZA00","5*5",1,1,1,1850
-40,15,2019,1150,"020ZA00","5*5",1,1,1,1150
-40,15,2019,6970,"020ZA00","5*5",1,1,1,6970
-40,15,2019,8270,"020ZA00","5*5",1,1,1,8270
-35,10,2019,17675,"020ZA00","5*5",1,1,1,17675
-35,10,2019,500,"020ZA00","5*5",1,1,1,500
-35,15,2019,2725,"020ZA00","5*5",1,1,1,2725
-35,15,2019,3500,"020ZA00","5*5",1,1,1,3500
-35,15,2019,2650,"020ZA00","5*5",1,1,1,2650
-35,15,2019,1600,"020ZA00","5*5",1,1,1,1600
-35,15,2019,1300,"020ZA00","5*5",1,1,1,1300
-35,15,2019,5000,"020ZA00","5*5",1,1,1,5000
-35,15,2019,2296,"020ZA00","5*5",1,1,1,2296
-40,15,2019,1800,"020ZA00","5*5",1,1,1,1800
-40,15,2019,1780,"020ZA00","5*5",1,1,1,1780
-40,15,2019,8194,"020ZA00","5*5",1,1,1,8194
-40,15,2019,6802,"020ZA00","5*5",1,1,1,6802
-40,15,2019,4950,"020ZA00","5*5",1,1,1,4950
-40,15,2019,910,"020ZA00","5*5",1,1,1,910
-40,15,2019,3580,"020ZA00","5*5",1,1,1,3580
-40,15,2019,9072,"020ZA00","5*5",1,1,1,9072
-40,15,2019,3206,"020ZA00","5*5",1,1,1,3206
-40,15,2019,1650,"020ZA00","5*5",1,1,1,1650
-40,15,2019,1750,"020ZA00","5*5",1,1,1,1750
-35,15,2019,4500,"020ZA00","5*5",1,1,1,4500
-35,15,2019,900,"020ZA00","5*5",1,1,1,900
-35,15,2019,1500,"020ZA00","5*5",1,1,1,1500
-35,15,2019,6000,"020ZA00","5*5",1,1,1,6000
-40,15,2019,2400,"020ZA00","5*5",1,1,1,2400
-40,15,2019,1200,"020ZA00","5*5",1,1,1,1200
-40,15,2019,1400,"020ZA00","5*5",1,1,1,1400
-40,15,2019,7900,"020ZA00","5*5",1,1,1,7900
-40,15,2019,1100,"020ZA00","5*5",1,1,1,1100
-35,10,2019,6608,"020ZA00","5*5",1,1,1,6608
-35,10,2019,5136,"020ZA00","5*5",1,1,1,5136
-35,15,2019,9775,"020ZA00","5*5",1,1,1,9775
-35,15,2019,29456,"020ZA00","5*5",1,1,1,29456
-35,15,2019,1386,"020ZA00","5*5",1,1,1,1386
-35,15,2019,5280,"020ZA00","5*5",1,1,1,5280
-35,15,2019,3720,"020ZA00","5*5",1,1,1,3720
-35,15,2019,21640,"020ZA00","5*5",1,1,1,21640
-35,15,2019,4070,"020ZA00","5*5",1,1,1,4070
-35,15,2019,1440,"020ZA00","5*5",1,1,1,1440
-35,15,2019,1600,"020ZA00","5*5",1,1,1,1600
-35,10,2019,1000,"020ZA00","5*5",1,1,1,1000
-35,15,2019,1290,"020ZA00","5*5",1,1,1,1290
-35,15,2019,910,"020ZA00","5*5",1,1,1,910
-35,15,2019,1150,"020ZA00","5*5",1,1,1,1150
-35,15,2019,8970,"020ZA00","5*5",1,1,1,8970
-35,15,2019,1820,"020ZA00","5*5",1,1,1,1820
-35,15,2019,1800,"020ZA00","5*5",1,1,1,1800
-40,15,2019,3150,"020ZA00","5*5",1,1,1,3150
-40,15,2019,1800,"020ZA00","5*5",1,1,1,1800
-40,15,2019,2880,"020ZA00","5*5",1,1,1,2880
-40,15,2019,10250,"020ZA00","5*5",1,1,1,10250
-35,10,2019,1600,"020ZA00","5*5",1,1,1,1600
-35,15,2019,3382,"020ZA00","5*5",1,1,1,3382
-35,15,2019,1500,"020ZA00","5*5",1,1,1,1500
-35,15,2019,3460,"020ZA00","5*5",1,1,1,3460
-35,15,2019,1685,"020ZA00","5*5",1,1,1,1685
-35,15,2019,3400,"020ZA00","5*5",1,1,1,3400
-35,15,2019,1600,"020ZA00","5*5",1,1,1,1600
-40,15,2019,800,"020ZA00","5*5",1,1,1,800
-40,15,2019,1000,"020ZA00","5*5",1,1,1,1000
-40,15,2019,5500,"020ZA00","5*5",1,1,1,5500
-40,15,2019,4630,"020ZA00","5*5",1,1,1,4630
-40,15,2019,3445,"020ZA00","5*5",1,1,1,3445
5,-40,2019,12200,"028PA05","5*5",1,1,1,12200
5,-45,2019,34600,"028PA05","5*5",1,1,1,34600
5,-45,2019,35000,"028PA05","5*5",1,1,1,35000
5,-45,2019,2300,"028PA05","5*5",1,1,1,2300
5,-45,2019,4600,"028PA05","5*5",1,1,1,4600
5,-45,2019,4600,"028PA05","5*5",1,1,1,4600
5,-50,2019,15300,"028PA05","5*5",1,1,1,15300
5,-50,2019,13000,"028PA05","5*5",1,1,1,13000
5,-45,2019,21900,"028PA05","5*5",1,1,1,21900
5,-45,2019,20900,"028PA05","5*5",1,1,1,20900
5,-45,2019,34600,"028PA05","5*5",1,1,1,34600
5,-45,2019,14400,"028PA05","5*5",1,1,1,14400
5,-45,2019,14100,"028PA05","5*5",1,1,1,14100
5,-50,2019,20900,"028PA05","5*5",1,1,1,20900
5,-50,2019,28800,"028PA05","5*5",1,1,1,28800
5,-50,2019,18900,"028PA05","5*5",1,1,1,18900
5,-50,2019,5300,"028PA05","5*5",1,1,1,5300
5,-55,2019,2600,"028PA05","5*5",1,1,1,2600
5,-55,2019,18100,"028PA05","5*5",1,1,1,18100
5,-60,2019,7700,"028PA05","5*5",1,1,1,7700
5,-45,2019,34100,"028PA05","5*5",1,1,1,34100
5,-45,2019,44900,"028PA05","5*5",1,1,1,44900
5,-45,2019,55200,"028PA05","5*5",1,1,1,55200
5,-45,2019,14600,"028PA05","5*5",1,1,1,14600
5,-45,2019,21300,"028PA05","5*5",1,1,1,21300
5,-50,2019,20000,"028PA05","5*5",1,1,1,20000
5,-50,2019,99900,"028PA05","5*5",1,1,1,99900
5,-50,2019,20800,"028PA05","5*5",1,1,1,20800
5,-50,2019,2600,"028PA05","5*5",1,1,1,2600
5,-50,2019,39700,"028PA05","5*5",1,1,1,39700
5,-50,2019,5200,"028PA05","5*5",1,1,1,5200
5,-55,2019,2600,"028PA05","5*5",1,1,1,2600
5,-55,2019,5400,"028PA05","5*5",1,1,1,5400
5,-55,2019,7800,"028PA05","5*5",1,1,1,7800
5,-45,2019,12000,"028PA05","5*5",1,1,1,12000
5,-45,2019,24700,"028PA05","5*5",1,1,1,24700
5,-45,2019,14900,"028PA05","5*5",1,1,1,14900
5,-45,2019,12600,"028PA05","5*5",1,1,1,12600
5,-50,2019,31700,"028PA05","5*5",1,1,1,31700
5,-50,2019,46100,"028PA05","5*5",1,1,1,46100
5,-50,2019,38600,"028PA05","5*5",1,1,1,38600
5,-50,2019,55000,"028PA05","5*5",1,1,1,55000
5,-50,2019,49800,"028PA05","5*5",1,1,1,49800
5,-55,2019,30200,"028PA05","5*5",1,1,1,30200
5,-55,2019,8000,"028PA05","5*5",1,1,1,8000
5,-55,2019,2600,"028PA05","5*5",1,1,1,2600
5,-55,2019,10300,"028PA05","5*5",1,1,1,10300
